,index,ISO_language,textfile,Frequency,file,Perimetric_complexity,Compression,ISO_script,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Relative_frequency,Sum_prob,Source,Unicode
0,00390,ell,ΐ,196.0,7.0,25.769891960694103,1072,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.00011172502874354375,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",00390
1,003AC,ell,ά,32076.0,7.0,54.5976656754479,1472,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.018284142969275045,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AC
2,003AD,ell,έ,30697.0,7.0,41.360042161241395,1203,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.017498077588472258,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AD
3,003AE,ell,ή,15128.0,7.0,51.3885885736318,1132,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.008623348136899642,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AE
4,003AF,ell,ί,35771.0,7.0,24.3329687846215,1047,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.020390387771353588,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AF
5,003B0,ell,ΰ,1.0,1.0,42.9490105324045,1228,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,5.70025656854815e-07,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B0
6,003B1,ell,α,189222.0,8.0,48.719588093312105,1428,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.10786139484138181,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B1
7,003B2,ell,β,13558.0,8.0,69.5031218127738,1364,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.007728407855637582,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B2
8,003B3,ell,γ,29651.0,8.0,38.3889029008081,1201,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.01690183075140212,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B3
9,003B4,ell,δ,30504.0,8.0,52.9240517869106,1381,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.01738806263669928,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B4
10,003B5,ell,ε,135751.0,8.0,35.5625245961601,1136,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.077381552943698,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B5
11,003B6,ell,ζ,5964.0,8.0,44.2813130202662,1298,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.003399633017482117,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B6
12,003B7,ell,η,44314.0,8.0,45.5505428825906,1086,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.025260116957864273,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B7
13,003B8,ell,θ,28165.0,8.0,60.058568667777,1304,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.016054772625315867,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B8
14,003B9,ell,ι,114655.0,8.0,18.3452210299259,950,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.06535629168668881,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B9
15,003BA,ell,κ,71163.0,8.0,49.0103978348065,1182,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.040564735818759204,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BA
16,003BB,ell,λ,47237.0,8.0,36.881820027826706,1299,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0269263019528509,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BB
17,003BC,ell,μ,48515.0,8.0,50.605657689568005,1138,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.02765479474231135,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BC
18,003BD,ell,ν,127432.0,8.0,31.515409746377898,1150,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.07263950950432278,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BD
19,003BE,ell,ξ,6307.0,8.0,51.7517848517828,1379,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0035951518177833185,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BE
20,003BF,ell,ο,151329.0,8.0,37.0931939205354,1148,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.08626141262618231,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BF
21,003C0,ell,π,65556.0,8.0,43.8162919725421,1181,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.03736860196077425,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C0
22,003C1,ell,ρ,62412.0,8.0,47.239828468331204,1132,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.035576441295622714,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C1
23,003C2,ell,ς,65480.0,8.0,35.8416134155205,1176,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.037325280010853286,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C2
24,003C3,ell,σ,75279.0,8.0,40.3461431309875,1141,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.04291096142237362,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C3
25,003C4,ell,τ,143618.0,8.0,30.0940688846728,1032,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.08186594478617483,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C4
